fips,county,state,i14,i15,i16,i17,i18,i19,i20,i21,i22,i23,i24,i25,long,lat,group,county_fips
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.727775,41.100696,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.69594889,41.11543413,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.639672,41.141495,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.632153,41.144921,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.564941,41.17517,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.514617,41.198434,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.509487,41.200814,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.482709,41.21276,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.518384,41.256719,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.550961,41.295422,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.548929,41.307598,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.549574,41.315931,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.548973,41.326297,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.544728,41.366375,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.543425,41.376622,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.54341486,41.37675407,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.541169,41.405994,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.537673,41.433905,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.537469,41.43589,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.536969,41.441094,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.536067,41.451331,09001.1,09001
