fips,region,sid,county,state,nis,is_presence,gc,nps,nps_presence,pop,i21,long,lat,group,county_fips,pop_log
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.727775,41.100696,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.69594889,41.11543413,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.639672,41.141495,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.632153,41.144921,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.564941,41.17517,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.514617,41.198434,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.509487,41.200814,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.482709,41.21276,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.518384,41.256719,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.550961,41.295422,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.548929,41.307598,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.549574,41.315931,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.548973,41.326297,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.544728,41.366375,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.543425,41.376622,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.54341486,41.37675407,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.541169,41.405994,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.537673,41.433905,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.537469,41.43589,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.536969,41.441094,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.536067,41.451331,09001.1,09001,5.974664566960404
